Partlist

Exported from Aquila-2019-ex.brd at 2019/03/31 14:46

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part           Value                  Package                      Library               Position (mil)        Orientation
SUPPLY9        MAIN                   AK500/2                      con-ptr500            (150 3200)            R270
SV1                                   MA06-1                       0con-lstb             (2050 750)            R90
TESTSW-R1      4.7K                   R0805                        0@Mylibrary-main1     (1424.5 446.5)        MR270
TESTSW-R2      4.7K                   R0805                        0@Mylibrary-main1     (1774 446)            MR270
TESTSW-R3      4.7K                   R0805                        0@Mylibrary-main1     (2125 446)            MR270
TO-UNDER                              ML26                         0con-harting-ml       (3593.75 1437.5)      MR270
TOUCH1         XH-3                   CON3                         forprint              (2500 2900)           MR90
TOUCH2         XH-3                   CON3                         forprint              (2250 2900)           MR90
TW-SP          XH-2                   CON2                         0@Mylibrary-main1     (1450 750)            R90
TWILITE        C2                     MA05-1                       con-lstb-forprint     (1129 1114)           R0
U$2            5566-04A               5566-04A                     con-molex             (196 1303)            MR180
U2             23K256-I/SN            SOIC127P600X175-8N           23K256-I_SN           (2625 2637.5)         R90
VOLTAGE-METER1 XH-2                   CON2                         forprint              (996.5 2811.25)       MR270
VOLTAGE-METER2 XH-2                   CON2                         forprint              (2200 3400)           MR0
X-R2           4.7K                   R0805                        0@Mylibrary-main1     (932 1761)            MR90
X2             DCJACK-MJ179P          MJ-179P                      kamiki-dcjack         (550 3550)            R270
XB1            XBEE-PRO               XBEE-PRO                     maxstream             (650 550)             R90
XBEE-RST       4.7K                   R0805                        0@Mylibrary-main1     (1231.25 550)         R90
XMEGA-TEST1    SW1                    DTS-6                        forprint              (1552.5 237.5)        R180
XMEGA-TEST2    SW2                    DTS-6                        forprint              (1902.5 237.5)        R180
XMEGA-TEST3    SW3                    DTS-6                        forprint              (2252.5 237.5)        R180
